ident,type,name,iata_code,coordinates
EGMC,medium_airport,Southend Airport,SEN,"0.6955559849739075, 51.5713996887207"
EGMD,medium_airport,Lydd Airport,LYX,"0.9391670227050781, 50.95610046386719"
EGNC,medium_airport,Carlisle Airport,CAX,"-2.8091700077056885, 54.9375"
EGNH,medium_airport,Blackpool International Airport,BLK,"-3.0286099910736084, 53.77170181274414"
EGNJ,medium_airport,Humberside Airport,HUY,"-0.350832998752594, 53.57440185546875"
EGNL,medium_airport,Barrow Walney Island Airport,BWF,"-3.2675, 54.1286111"
EGNM,large_airport,Leeds Bradford Airport,LBA,"-1.6605700254440308, 53.86589813232422"
EGNO,medium_airport,Warton Aerodrome,WRT,"-2.88306, 53.745098"
EGNR,medium_airport,Hawarden Airport,CEG,"-2.9777801036834717, 53.1781005859375"
EGNS,medium_airport,Isle of Man Airport,IOM,"-4.623889923095703, 54.08330154418945"
EGNT,large_airport,Newcastle Airport,NCL,"-1.6916699409484863, 55.037498474121094"
EGNV,medium_airport,Durham Tees Valley Airport,MME,"-1.4294099807739258, 54.50920104980469"
EGNX,large_airport,East Midlands Airport,EMA,"-1.32806003094, 52.8311004639"
EGOV,medium_airport,Anglesey Airport,VLY,"-4.53533983231, 53.2481002808"
EGPA,medium_airport,Kirkwall Airport,KOI,"-2.9049999713897705, 58.957801818847656"
EGPB,medium_airport,Sumburgh Airport,LSI,"-1.2955600023269653, 59.87889862060547"
EGPC,medium_airport,Wick Airport,WIC,"-3.09306001663208, 58.458900451660156"
EGPD,large_airport,Aberdeen Dyce Airport,ABZ,"-2.197779893875122, 57.201900482177734"
EGPE,medium_airport,Inverness Airport,INV,"-4.047500133514404, 57.54249954223633"
EGPF,large_airport,Glasgow International Airport,GLA,"-4.43306, 55.871899"
EGPH,large_airport,Edinburgh Airport,EDI,"-3.372499942779541, 55.95000076293945"
EGPI,medium_airport,Islay Airport,ILY,"-6.256669998168945, 55.68190002441406"
EGPK,medium_airport,Glasgow Prestwick Airport,PIK,"-4.586669921875, 55.5093994140625"
EGPL,medium_airport,Benbecula Airport,BEB,"-7.3627800941467285, 57.48109817504883"
EGPM,medium_airport,Scatsta Airport,SCS,"-1.2961100339889526, 60.43280029296875"
EGPN,medium_airport,Dundee Airport,DND,"-3.025830030441284, 56.45249938964844"
EGPO,medium_airport,Stornoway Airport,SYY,"-6.331110000610352, 58.215599060058594"
EGPR,medium_airport,Barra Airport,BRR,"-7.44306, 57.0228"
EGPU,medium_airport,Tiree Airport,TRE,"-6.869170188903809, 56.49919891357422"
EGQK,medium_airport,RAF Kinloss,FSS,"-3.56064009666, 57.6493988037"
EGQL,medium_airport,RAF Leuchars,ADX,"-2.8684399127960205, 56.37289810180664"
EGQS,medium_airport,RAF Lossiemouth,LMO,"-3.339169979095459, 57.7052001953125"
EGSC,medium_airport,Cambridge Airport,CBG,"0.175, 52.205002"
EGSH,large_airport,Norwich International Airport,NWI,"1.28278005123, 52.6758003235"
EGSS,large_airport,London Stansted Airport,STN,"0.234999999404, 51.8849983215"
EGTE,large_airport,Exeter International Airport,EXT,"-3.4138898849487305, 50.73440170288086"
EGTK,medium_airport,Oxford (Kidlington) Airport,OXF,"-1.32000005245, 51.8368988037"
EGUB,medium_airport,RAF Benson,BEX,"-1.09582996368, 51.616401672399995"
EGUL,large_airport,RAF Lakenheath,LKZ,"0.56099998951, 52.409301757799994"
EGUN,large_airport,RAF Mildenhall,MHZ,"0.48640599846839905, 52.361900329589844"
EGUY,medium_airport,RAF Wyton,QUY,"-0.107832998037, 52.3572006226"
EGVA,large_airport,RAF Fairford,FFD,"-1.7900300025900002, 51.6822013855"
EGVN,large_airport,RAF Brize Norton,BZZ,"-1.58362, 51.75"
EGVO,medium_airport,RAF Odiham,ODH,"-0.94282501936, 51.2341003418"
EGWU,medium_airport,RAF Northolt,NHT,"-0.418166995049, 51.553001403799996"
EGXC,medium_airport,RAF Coningsby,QCY,"-0.166014000773, 53.0929985046"
EGXH,medium_airport,RAF Honington,BEQ,"0.7729390263557434, 52.34260177612305"
EGXP,medium_airport,RAF Scampton,SQZ,"-0.550832986832, 53.307800293"
EGXU,medium_airport,RAF Linton-On-Ouse,HRT,"-1.2527500391, 54.0489006042"
EGXW,medium_airport,RAF Waddington,WTN,"-0.523810982704, 53.1661987305"
EGYM,medium_airport,RAF Marham,KNF,"0.550692, 52.648395"
EHAM,large_airport,Amsterdam Airport Schiphol,AMS,"4.76389, 52.308601"
EHBK,medium_airport,Maastricht Aachen Airport,MST,"5.77014, 50.911701"
EHEH,large_airport,Eindhoven Airport,EIN,"5.37452983856, 51.4500999451"
